Treatment,Box,SeedID,Cluster,9_14_2020,Other,3_w_survival,3_w_height,5_w_survival,5_w_height
2_Control_3,93,G2_b4_1,blue,0.5,,0,0,,
2_Control_3,94,G2_b7_1,blue,0.5,,0,0,,
2_Control_3,95,G1_b29_1,blue,1,,1,3.6,,
2_NAA_05_3,96,G1_b8_1,blue,0.5,,0.5,1.3,,
2_NAA_05_3,97,G2_b4_1,blue,0.5,,0.5,1.7,,
2_NAA_05_3,98,G1_b21_1,pink,0.5,,0.5,1.1,,
2_NAA_05_3,99,G2_b21_1,blue,1,,1,2,,
2_NAA_05_3,100,G2_b21_2,pink,1,,1,1.9,,
2_NAA_05_3,101,G2_b7_1,blue,0.5,,0.5,1.4,,
2_NAA_05_3,102,G2_b6_1,black,1,,1,2.6,,
2_NAA_1_1,103,G2_b4_1,blue,1,,1,3,,
2_NAA_1_1,104,G2_b21_1,blue,0,,0,0,,
2_NAA_1_1,105,G2_b7_1,blue,0.5,,0.5,2.2,,
2_IBA_05_1,106,G1_b8_1,blue,1,,1,2.4,,
2_IBA_05_1,107,G2_b4_1,blue,1,,1,3.4,,
2_IBA_05_1,108,G1_b21_1,pink,0,,0,0,,
2_IBA_05_1,109,G2_b21_1,blue,0,,0,0,,
2_IBA_05_1,110,G2_b7_1,blue,1,,0.5,2,,
2_IBA_1_3,111,G1_b8_1,blue,0,,0,0,,
2_IBA_1_3,112,G2_b4_1,blue,0,,0,0,,
2_IBA_1_3,113,G1_b4_1,pink,1,,0.5,2,,
2_IBA_1_3,114,G1_b29_1,blue,0.5,,0.5,1.4,,
2_NAA_1_2,115,G1_b8_1,blue,0.5,,0.5,1.2,,
2_NAA_1_2,116,G2_b21_1,blue,1,,1,2.1,,
2_NAA_1_2,117,G2_b21_2,pink,0.5,,0,0,,
2_NAA_1_2,118,G2_b7_1,blue,0.5,,0.5,1.5,,
2_NAA_1_2,119,G1_b4_1,pink,0.5,,0,0,,
2_NAA_1_2,120,G1_b29_1,blue,0.5,,0.5,1.4,,
2_NAA_1_3,121,G1_b8_1,blue,0,,0,0,,
2_NAA_1_3,122,G2_b4_1,blue,1,,1,3.6,,
2_NAA_1_3,123,G1_b21_1,pink,0,,0,0,,
2_NAA_1_3,124,G2_b21_1,blue,0,,0,0,,
2_NAA_1_3,125,G2_b21_2,pink,1,,1,2.1,,
2_NAA_1_3,126,G2_b7_1,blue,1,,1,3,,
2_NAA_1_3,127,G1_b4_1,pink,1,,1,2,,
2_NAA_1_3,128,G2_b6_1,black,1,,1,2.2,,
3_NAA_1_1,129,G1_b15_1,black,0,,0,0,,
3_NAA_1_1,130,G1_b13_1,blue,1,,1,2.4,,
3_NAA_1_1,131,G1_b10_1,blue,1,,1,3.1,,
3_Control_2,132,G1_b3_1,blue,1,,1,2,,
3_Control_2,133,G1_b13_1,blue,1,,1,2.7,,
3_IBA_05_2,134,G1_b26_1,black,1,,0.5,1.5,,
3_IBA_05_2,135,G1_b5_1,pink,1,,1,3.3,,
3_IBA_05_2,136,G1_b3_1,blue,1,,1,3.5,,
3_IBA_05_2,137,G1_b13_1,blue,1,,1,3,,
3_IBA_05_2,138,G1_b10_1,blue,1,,1,2.9,,
3_IBA_1_3,139,G1_b26_1,black,1,,1,1.7,,
3_IBA_1_3,140,G2_18_1,pink,1,,1,2.6,,
3_IBA_1_3,141,G1_b5_1,pink,0.5,,0,0,,
3_IBA_1_3,142,G1_b3_1,blue,1,,1,3.6,,
3_IBA_1_3,143,G1_b13_1,blue,1,,1,2.5,,
3_IBA_1_3,144,G1_b10_1,blue,1,,1,3.1,,
3_NAA_05_3,145,G1_b3_1,blue,1,,1,1.7,,
3_NAA_05_3,146,G1_b13_1,blue,0.5,,0.5,1.6,,
3_Control_3,147,G1_b3_1,blue,1,,1,2.4,,
3_IBA_1_2,148,G2_18_1,pink,0.5,,0,0,,
3_IBA_1_2,149,G1_b3_1,blue,1,,1,3.5,,
3_IBA_1_2,150,G1_b13_1,blue,1,,1,2.4,,
3_IBA_1_2,151,G1_b10_1,blue,1,,1,3.2,,
3_NAA_05_1,152,G1_b5_1,pink,1,,1,2.5,,
3_NAA_05_1,153,G1_b3_1,blue,1,,1,2.9,,
3_NAA_05_1,154,G1_b13_1,blue,1,,1,3,,
3_NAA_05_1,155,G1_b10_1,blue,1,,1,2.5,,
3_IBA_1_1,156,G1_b5_1,pink,1,,1,2.9,,
3_IBA_1_1,157,G1_b3_1,blue,1,,1,2,,
3_IBA_1_1,158,G1_b13_1,blue,1,,1,2.5,,
3_IBA_1_1,159,G1_b10_1,blue,1,,1,1.5,,
3_IBA_05_3,160,G2_18_1,pink,0.5,,0,0,,
3_IBA_05_3,161,G1_b3_1,blue,1,,1,3.1,,
3_IBA_05_3,162,G1_b13_1,blue,1,,1,3.1,,
3_IBA_05_3,163,G1_b10_1,blue,1,,1,3,,
3_NAA_1_3,164,G2_18_1,pink,0,,0,0,,
3_NAA_1_3,165,G1_b5_1,pink,0.5,,0,0,,
3_NAA_1_3,166,G1_b3_1,blue,1,,1,3.5,,
3_NAA_05_2,167,G1_b26_1,black,1,,1,2.4,,
3_NAA_05_2,168,G2_18_1,pink,0,,0,0,,
3_NAA_05_2,169,G1_b5_1,pink,1,,1,3.1,,
3_NAA_05_2,170,G1_b3_1,blue,1,,1,2,,
3_NAA_05_2,171,G1_b13_1,blue,1,,1,2.5,,
3_NAA_05_2,172,G1_b10_1,blue,1,,1,3.4,,
3_IBA_05_1,173,G1_b5_1,pink,1,,1,2.2,,
3_IBA_05_1,174,G1_b3_1,blue,1,,1,3,,
3_IBA_05_1,175,G1_b13_1,blue,1,,1,2.7,,
3_IBA_05_1,176,G1_b10_1,blue,1,,1,2.5,,
3_NAA_1_2,177,G1_b13_1,blue,1,,1,2.6,,
4_IBA_1_1,178,G2_b28_1,black,1,,1,3.2,,
4_IBA_1_1,179,G2_b27_2,pink,1,,1,2.5,,
4_IBA_1_1,180,G2_b11_1,blue,1,,1,2.6,,
4_IBA_1_1,181,G2_29_1,pink,1,,1,2.4,,
4_IBA_1_1,182,G2_b24_1,blue,1,,1,2.3,,
4_NAA_05_3,183,G2_b17_1,pink,1,,1,2.3,,
4_NAA_1_1,184,G2_b28_1,black,1,,0.5,1.1,,
4_NAA_1_1,185,G2_b27_2,pink,1,,1,2.1,,
4_NAA_1_1,186,G2_b16_1,pink,1,,1,1.7,,
4_NAA_1_1,187,G2_b11_1,blue,0.5,,0.5,1,,
4_NAA_1_1,188,G2_b24_1,blue,0.5,,1,2.4,,
